,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
0,Finland,2020,7.888999999999999,10.75,0.9620000000000001,72.1,0.9620000000000001,-0.11599999999999999,0.16399999999999998
1,Finland,2018,7.858,10.783,0.9620000000000001,71.9,0.938,-0.127,0.19899999999999998
2,Finland,2017,7.787999999999999,10.767999999999999,0.9640000000000001,71.8,0.9620000000000001,-0.002,0.192
3,Finland,2019,7.78,10.792,0.937,72.0,0.948,-0.052000000000000005,0.195
4,Switzerland,2019,7.694,11.136,0.9490000000000001,74.4,0.9129999999999999,0.036000000000000004,0.294
5,Denmark,2019,7.693,10.954,0.958,72.7,0.963,0.02,0.174
6,Finland,2016,7.66,10.74,0.9540000000000001,71.7,0.948,-0.027000000000000003,0.25
7,Denmark,2018,7.649,10.935,0.958,72.4,0.935,0.018000000000000002,0.151
8,Norway,2016,7.596,11.035,0.96,73.0,0.9540000000000001,0.133,0.41
9,Denmark,2017,7.593999999999999,10.915999999999999,0.9520000000000001,72.1,0.955,0.155,0.18100000000000002
10,Norway,2017,7.579,11.05,0.95,73.1,0.953,0.23600000000000002,0.25
11,Iceland,2020,7.575,10.824000000000002,0.983,73.0,0.9490000000000001,0.16,0.644
12,Denmark,2016,7.558,10.902999999999999,0.9540000000000001,71.8,0.948,0.138,0.21
13,Netherlands,2016,7.541,10.899000000000001,0.9259999999999999,72.1,0.907,0.239,0.433
14,Iceland,2019,7.5329999999999995,10.931,0.982,73.0,0.9590000000000001,,0.6990000000000001
15,Denmark,2020,7.515,10.91,0.9470000000000001,73.0,0.938,0.052000000000000005,0.214
16,Iceland,2016,7.51,10.904000000000002,0.985,73.0,0.9520000000000001,0.281,0.7190000000000001
17,Switzerland,2018,7.5089999999999995,11.134,0.93,74.1,0.9259999999999999,0.10099999999999999,0.301
18,Switzerland,2020,7.507999999999999,11.081,0.946,74.7,0.917,-0.064,0.28
19,Netherlands,2020,7.504,10.901,0.9440000000000001,72.5,0.935,0.151,0.281
20,Iceland,2017,7.476,10.925,0.9670000000000001,73.0,0.9390000000000001,0.24600000000000002,0.727
21,Switzerland,2017,7.474,11.115,0.95,73.8,0.925,0.18,0.316
22,Netherlands,2018,7.462999999999999,10.940999999999999,0.9390000000000001,72.3,0.92,0.161,0.371
23,Switzerland,2016,7.459,11.106,0.9279999999999999,73.5,0.934,0.08800000000000001,0.302
24,Netherlands,2017,7.459,10.921,0.937,72.2,0.92,0.25,0.363
25,Norway,2018,7.444,11.056,0.966,73.2,0.96,0.094,0.268
26,Norway,2019,7.442,11.061,0.9420000000000001,73.3,0.9540000000000001,0.111,0.271
27,Netherlands,2019,7.425,10.953,0.941,72.4,0.8859999999999999,0.213,0.36
28,Canada,2017,7.415,10.792,0.934,73.4,0.945,0.163,0.36200000000000004
29,Luxembourg,2019,7.404,11.648,0.912,72.6,0.93,-0.045,0.39
30,Sweden,2019,7.398,10.882,0.934,72.7,0.9420000000000001,0.091,0.25
31,Austria,2018,7.396,10.927999999999999,0.912,73.0,0.904,0.053,0.523
32,Sweden,2018,7.375,10.880999999999998,0.9309999999999999,72.6,0.9420000000000001,0.077,0.263
33,New Zealand,2018,7.37,10.66,0.9540000000000001,73.2,0.9490000000000001,0.12,0.207
34,Sweden,2016,7.369,10.860999999999999,0.912,72.4,0.9179999999999999,0.146,0.24600000000000002
35,Israel,2019,7.332000000000001,10.600999999999999,0.946,73.5,0.8340000000000001,0.085,0.743
36,Israel,2017,7.331,10.57,0.9159999999999999,73.1,0.768,0.145,0.7929999999999999
37,New Zealand,2017,7.327000000000001,10.633,0.955,73.0,0.9420000000000001,0.294,0.222
38,Sweden,2020,7.314,10.838,0.9359999999999999,72.8,0.951,0.091,0.203
39,Germany,2020,7.312,10.833,0.905,72.8,0.8640000000000001,-0.06,0.424
40,Austria,2017,7.294,10.908,0.9059999999999999,72.7,0.89,0.133,0.518
41,Norway,2020,7.29,11.042,0.956,73.4,0.965,0.075,0.271
42,Sweden,2017,7.287000000000001,10.873,0.914,72.5,0.935,0.17,0.239
43,Australia,2017,7.257000000000001,10.798,0.95,73.3,0.9109999999999999,0.317,0.41100000000000003
44,New Zealand,2020,7.257000000000001,10.6,0.9520000000000001,73.6,0.9179999999999999,0.125,0.28300000000000003
45,Ireland,2019,7.255,11.370999999999999,0.9440000000000001,72.4,0.892,0.07400000000000001,0.373
46,Australia,2016,7.25,10.790999999999999,0.9420000000000001,73.0,0.922,0.239,0.39899999999999997
47,Canada,2016,7.245,10.773,0.924,73.2,0.912,0.21100000000000002,0.385
48,Luxembourg,2018,7.242999999999999,11.645,0.902,72.6,0.884,-0.022000000000000002,0.385
49,Australia,2019,7.234,10.815,0.943,73.9,0.9179999999999999,0.121,0.43
50,United Kingdom,2018,7.233,10.743,0.9279999999999999,72.3,0.838,0.226,0.40399999999999997
51,New Zealand,2016,7.226,10.623,0.937,72.8,0.927,0.266,0.278
52,Costa Rica,2017,7.225,9.857999999999999,0.922,71.1,0.9359999999999999,-0.076,0.742
53,Austria,2020,7.212999999999999,10.850999999999999,0.925,73.6,0.912,0.011000000000000001,0.46399999999999997
54,New Zealand,2019,7.205,10.665999999999999,0.9390000000000001,73.4,0.912,0.157,0.23399999999999999
55,Israel,2020,7.195,10.538,0.9590000000000001,73.7,0.831,-0.049,0.748
56,Austria,2019,7.195,10.939,0.9640000000000001,73.3,0.903,0.06,0.457
57,Australia,2018,7.1770000000000005,10.811,0.94,73.6,0.9159999999999999,0.146,0.405
58,Canada,2018,7.175,10.798,0.9229999999999999,73.6,0.946,0.106,0.37200000000000005
59,Israel,2016,7.159,10.555,0.89,72.9,0.772,0.153,0.804
60,United Kingdom,2019,7.157,10.751,0.943,72.5,0.8540000000000001,0.271,0.485
61,Costa Rica,2018,7.141,9.874,0.8759999999999999,71.3,0.9420000000000001,-0.107,0.7809999999999999
62,Australia,2020,7.1370000000000005,10.76,0.937,74.2,0.905,0.21,0.491
63,Costa Rica,2016,7.136,9.83,0.9009999999999999,70.9,0.873,-0.032,0.7809999999999999
